account_id,opp_id,company_name,account_tier,initial_deal_size,signup_date
A000000,O000001,"Henderson, Ramirez and Lewis",Mid-Market,33548,2024-08-29 02:32:10.291873
A000001,O000003,Dudley Group,Mid-Market,59712,2025-05-21 20:09:30.755158
A000002,O000006,"Reid, Ferguson and Sanchez",Mid-Market,16272,2024-11-18 15:35:36.421448
A000003,O000010,"Hoffman, Baker and Richards",Mid-Market,59278,2024-07-25 20:11:05.331064
A000004,O000011,"Ross, Robinson and Bright",SMB,5258,2026-03-17 15:12:31.226309
A000005,O000015,Allen-Allen,SMB,5572,2024-11-15 20:06:05.672950
A000006,O000021,Gomez-Jenkins,Mid-Market,16776,2024-05-24 04:31:13.295294
A000007,O000029,House-Glover,Mid-Market,17920,2025-09-07 05:09:24.856106
A000008,O000036,"Garcia, Humphrey and Baker",Mid-Market,23983,2024-10-14 18:12:48.045036
A000009,O000046,"Rivera, Johnson and Wiley",Mid-Market,43963,2026-05-10 02:08:50.169417
A000010,O000049,Cortez LLC,SMB,14316,2024-06-12 01:34:41.840869
A000011,O000052,"Lewis, Kennedy and Santana",Mid-Market,23497,2026-06-29 01:48:48.444121
A000012,O000061,"Smith, Gilmore and Johnston",SMB,8786,2026-06-10 15:27:31.347248
A000013,O000063,Meadows PLC,SMB,7240,2025-11-23 05:04:48.580482
A000014,O000065,Howell and Sons,SMB,11453,2024-05-21 00:35:16.436350
A000015,O000066,"Higgins, Strickland and Martin",SMB,4485,2025-08-17 10:16:11.455850
A000016,O000070,Reid-Poole,SMB,4598,2023-07-21 09:03:59.223845
A000017,O000071,"Nelson, Morton and Medina",SMB,9806,2024-11-14 07:34:10.734696
A000018,O000072,Marshall-Petersen,SMB,4846,2025-11-11 00:27:43.312924
A000019,O000073,Christensen PLC,SMB,11549,2026-03-25 09:54:25.551973
A000020,O000076,"Wood, Tran and Cooper",Mid-Market,27104,2026-08-03 16:17:23.571948
A000021,O000080,Wilson-Jones,Mid-Market,34041,2024-08-05 21:58:04.474867
A000022,O000081,Jones-Soto,SMB,3795,2024-09-18 19:31:18.187388
A000023,O000084,"Choi, Garcia and Farmer",Enterprise,92912,2025-08-01 02:08:50.987361
A000024,O000086,"Walker, Hernandez and Baker",SMB,1000,2025-10-21 17:08:27.237817
A000025,O000087,Larson-Holloway,Mid-Market,31870,2024-05-23 23:40:37.840434
A000026,O000088,Navarro-Munoz,SMB,3310,2024-10-24 10:48:39.591604
A000027,O000092,"Garcia, Martin and Jenkins",SMB,1197,2024-06-29 01:34:59.262721
A000028,O000093,"Johnson, Miller and King",SMB,1060,2025-11-25 23:45:23.724817
A000029,O000100,Tran Inc,SMB,2798,2023-11-16 17:45:08.174729
A000030,O000119,Jones LLC,SMB,2510,2024-06-23 23:52:52.533218
A000031,O000122,Robinson-Lee,SMB,6529,2025-04-26 14:35:05.291074
A000032,O000125,Coffey-Phillips,SMB,5544,2025-05-31 00:36:06.736712
A000033,O000128,"Martinez, Richardson and Curry",SMB,5314,2024-03-22 15:06:28.475013
A000034,O000133,Davis PLC,SMB,5724,2024-11-01 12:35:27.481746
A000035,O000135,Davis-Lewis,Mid-Market,50649,2024-11-28 03:12:17.870613
A000036,O000139,Fernandez and Sons,SMB,11566,2026-09-10 22:16:06.019381
A000037,O000143,"Wilson, Pena and Rich",SMB,6464,2025-03-02 06:00:14.196583
A000038,O000146,Davis Inc,Mid-Market,47925,2025-04-29 14:22:06.971223
A000039,O000154,Atkins PLC,Mid-Market,18429,2023-12-29 13:46:33.226987
A000040,O000160,Thompson Ltd,Mid-Market,29375,2024-07-24 04:27:41.933470
A000041,O000161,"Downs, Morris and Maddox",SMB,14445,2023-12-09 11:35:08.470250
A000042,O000162,"Williams, Mccoy and Cook",Enterprise,127333,2024-08-08 22:40:48.839131
A000043,O000167,"Henderson, Cox and Cox",Enterprise,88108,2024-02-18 01:22:35.295307
A000044,O000170,Jones Inc,SMB,14862,2023-10-09 10:19:45.718293
A000045,O000175,Burch-Montoya,SMB,13743,2025-10-16 03:47:35.883086
A000046,O000179,Blake Group,Enterprise,100796,2024-12-08 06:08:57.154727
A000047,O000181,"Bentley, Lynch and Henderson",Mid-Market,16077,2024-05-12 21:59:22.574217
A000048,O000183,Carlson-Smith,SMB,13484,2023-08-31 09:39:01.508682
A000049,O000189,Blackwell LLC,Mid-Market,31933,2023-10-14 17:05:00.524589
A000050,O000193,"Carter, Garcia and Murphy",Mid-Market,16044,2026-09-12 04:57:42.041089
A000051,O000196,Reyes-Bradley,Mid-Market,17354,2024-05-28 08:03:29.741135
A000052,O000198,Holmes-Mcintyre,Mid-Market,16360,2024-03-25 11:22:05.283164
A000053,O000203,"Mendoza, Jenkins and Ortiz",Mid-Market,32915,2023-10-22 13:08:08.451942
A000054,O000204,"Matthews, Saunders and Anderson",SMB,12740,2025-05-27 12:17:47.753400
A000055,O000211,Evans-Jones,SMB,1283,2023-05-22 15:45:54.120726
