account_id,initial_deal_size,mrr,n_months_active,avg_active_users,last_active_users,active_users_trend,avg_features_adopted,features_adopted_trend,avg_logins,logins_trend,n_tickets,n_high_severity,pct_unresolved,avg_resolution_days,account_tier_Mid-Market,account_tier_SMB,plan_Growth,plan_Starter,billing_frequency_Monthly
A000000,33548,2818.63,22.0,15.181818181818182,18.0,0.3591191417278373,6.545454545454546,0.2315076228119706,221.04545454545453,5.6245059288537576,4.0,0.0,0.0,4.4,True,False,True,False,False
A000001,59712,5445.96,15.0,18.866666666666667,21.0,0.05714285714285763,4.0,1.4984599085366893e-16,269.93333333333334,1.549999999999998,9.0,2.0,0.11111111111111116,4.7,True,False,True,False,False
A000002,16272,1411.18,21.0,5.0,5.0,-6.827181010695362e-17,3.0,-1.533878681486988e-17,68.42857142857143,0.4649350649350655,13.0,4.0,0.23076923076923073,3.14,True,False,True,False,True
A000003,59278,5353.96,24.0,18.625,18.0,-0.036956521739130686,4.0,-1.3253037582320373e-16,266.7083333333333,-1.5560869565217472,13.0,1.0,0.15384615384615385,2.818181818181818,True,False,True,False,False
A000004,5258,471.53,5.0,2.0,2.0,-2.1015841478911518e-16,4.0,-4.2031682957823036e-16,23.6,-0.09999999999999928,6.0,0.0,0.16666666666666663,2.88,False,True,False,True,True
A000005,5572,431.08,21.0,2.8095238095238093,4.0,0.0753246753246753,4.476190476190476,0.2532467532467532,38.523809523809526,1.3298701298701299,6.0,1.0,0.16666666666666663,5.180000000000001,False,True,False,True,False
A000006,16776,1526.71,26.0,5.0,5.0,-1.9548977463576823e-17,4.0,1.443850460211652e-17,69.07692307692308,-0.11076923076923066,9.0,1.0,0.0,4.066666666666666,True,False,True,False,True
A000007,17920,1668.13,11.0,6.909090909090909,9.0,0.33636363636363653,5.545454545454546,0.5000000000000001,97.45454545454545,4.772727272727276,3.0,1.0,0.0,4.533333333333334,True,False,True,False,True
A000008,23983,1850.91,22.0,7.0,6.0,0.013551665725578761,2.0,6.064101842980168e-18,96.86363636363636,0.4850367024280057,8.0,0.0,0.0,5.925000000000001,True,False,True,False,True
A000009,43963,3191.03,3.0,9.0,6.0,-2.9999999999999982,1.6666666666666667,-0.5000000000000003,137.0,-59.50000000000002,6.0,1.0,0.0,4.05,True,False,True,False,False
A000010,14316,1204.14,26.0,5.6923076923076925,7.0,0.15726495726495732,4.5,0.20341880341880347,78.6923076923077,1.2991452991452999,11.0,3.0,0.09090909090909094,4.38,False,True,False,True,False
A000011,23497,1945.13,2.0,5.5,3.0,-5.000000000000001,3.0,-2.0,82.5,-112.99999999999997,2.0,1.0,0.5,3.4,True,False,True,False,True
A000012,8786,751.27,2.0,2.0,2.0,-1.570092458683775e-16,3.0,-3.14018491736755e-16,22.5,-7.0,1.0,1.0,0.0,5.7,False,True,False,True,True
A000013,7240,620.63,9.0,1.3333333333333333,1.0,-0.11666666666666653,2.4444444444444446,-0.1666666666666665,20.88888888888889,-3.1833333333333327,10.0,4.0,0.30000000000000004,4.142857142857143,False,True,False,True,False
A000014,11453,1081.58,25.0,3.0,3.0,1.983778464620202e-17,3.0,1.983778464620202e-17,44.08,0.2584615384615381,11.0,2.0,0.09090909090909094,3.21,False,True,False,True,False
A000015,4485,329.89,5.0,1.4,1.0,-0.30000000000000016,2.4,-0.30000000000000054,15.6,-3.300000000000001,1.0,1.0,0.0,1.7,False,True,False,True,False
A000016,4598,424.82,35.0,2.742857142857143,4.0,0.04313725490196078,5.428571428571429,0.14733893557422967,34.628571428571426,0.20868347338935617,15.0,1.0,0.06666666666666665,4.564285714285715,False,True,False,True,False
A000017,9806,925.95,20.0,3.0,3.0,-3.45698662836618e-17,3.0,-3.45698662836618e-17,42.35,-0.5751879699248125,8.0,2.0,0.125,3.3714285714285714,False,True,False,True,False
A000018,4846,439.83,8.0,2.0,2.0,2.1985964165811086e-17,2.0,2.1985964165811086e-17,26.0,-0.1190476190476184,7.0,0.0,0.1428571428571429,4.45,False,True,False,True,True
A000019,11549,1036.69,5.0,3.0,3.0,-4.151461237982223e-16,4.0,-4.2031682957823036e-16,37.2,-0.20000000000000384,2.0,0.0,0.0,7.5,False,True,False,True,True
A000020,27104,2243.76,1.0,9.0,9.0,0.0,2.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True
A000021,34041,2592.58,24.0,11.333333333333334,11.0,-0.02000000000000001,3.0,-3.7457782053856407e-17,156.125,0.3369565217391282,14.0,1.0,0.0,5.557142857142858,True,False,True,False,True
A000022,3795,279.31,9.0,1.4444444444444444,1.0,-0.1666666666666666,3.2222222222222223,-0.2166666666666665,19.444444444444443,-1.9999999999999991,14.0,5.0,0.4285714285714286,4.675,False,True,False,True,False
A000023,92912,6644.57,11.0,41.72727272727273,56.0,1.8999999999999997,5.363636363636363,0.5000000000000001,554.5454545454545,7.018181818181843,5.0,0.0,0.19999999999999996,4.575,False,False,False,False,False
A000024,1000,200.0,10.0,2.0,2.0,3.210841961564283e-17,4.0,6.421683923128565e-17,26.9,-0.13939393939394065,5.0,0.0,0.19999999999999996,3.0500000000000003,False,True,False,True,False
A000025,31870,2616.18,24.0,10.041666666666666,10.0,-0.023043478260869842,4.0,-1.3253037582320373e-16,143.70833333333334,0.449999999999999,12.0,1.0,0.16666666666666663,3.38,True,False,True,False,True
A000026,3310,300.46,20.0,2.0,2.0,-5.0064932503219396e-17,3.0,-3.45698662836618e-17,24.95,-0.47443609022556466,8.0,1.0,0.25,2.5166666666666666,False,True,False,True,False
A000027,1197,200.0,16.0,1.4375,1.0,-0.09264705882352943,2.4375,-0.09264705882352937,21.375,-1.2029411764705873,15.0,6.0,0.4,3.511111111111111,False,True,False,True,False
A000028,1060,200.0,9.0,2.0,2.0,1.3266277840460404e-16,4.0,2.653255568092081e-16,24.0,0.8666666666666675,1.0,0.0,0.0,2.4,False,True,False,True,False
A000029,2798,206.32,33.0,2.0,2.0,8.482309336103327e-18,4.0,1.6964618672206654e-17,26.12121212121212,-0.0013368983957215293,19.0,2.0,0.26315789473684215,5.05,False,True,False,True,False
A000030,2510,200.0,8.0,1.5,1.0,-0.19047619047619055,3.25,-0.261904761904762,16.125,-1.6309523809523827,3.0,1.0,0.33333333333333337,5.3,False,True,False,True,False
