account_id,opp_id,company_name,account_tier,initial_deal_size,signup_date,subscription_id,plan,mrr,billing_frequency,contract_start_date,contract_end_date,status,churn_date,churn_probability,risk_tier,expansion_score,recommendation,recommended_action
A000000,O000001,"Henderson, Ramirez and Lewis",Mid-Market,33548,2024-08-29 02:32:10.291873,S000000,Growth,2818.63,Annual,2024-08-29 02:32:10.291873,2025-08-29 02:32:10.291873,Active,,0.00135883,Low,0.9967981,Pitch: additional seats,Route to expansion play
A000001,O000003,Dudley Group,Mid-Market,59712,2025-05-21 20:09:30.755158,S000001,Growth,5445.96,Annual,2025-05-21 20:09:30.755158,2026-05-21 20:09:30.755158,Active,,0.0019810777,Low,0.013936623,Pitch: additional seats,Healthy — no action needed
A000002,O000006,"Reid, Ferguson and Sanchez",Mid-Market,16272,2024-11-18 15:35:36.421448,S000002,Growth,1411.18,Monthly,2024-11-18 15:35:36.421448,,Active,,0.0012375808,Low,0.0017999619,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000003,O000010,"Hoffman, Baker and Richards",Mid-Market,59278,2024-07-25 20:11:05.331064,S000003,Growth,5353.96,Annual,2024-07-25 20:11:05.331064,2025-07-25 20:11:05.331064,Active,,0.0024755746,Low,0.0061787143,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000004,O000011,"Ross, Robinson and Bright",SMB,5258,2026-03-17 15:12:31.226309,S000004,Starter,471.53,Monthly,2026-03-17 15:12:31.226309,,Active,,0.0021907694,Low,0.0047529167,Pitch: additional seats,Healthy — no action needed
A000005,O000015,Allen-Allen,SMB,5572,2024-11-15 20:06:05.672950,S000005,Starter,431.08,Annual,2024-11-15 20:06:05.672950,2025-11-15 20:06:05.672950,Active,,0.0023938082,Low,0.9965318,Pitch: upgrade tier / deeper feature access,Route to expansion play
A000006,O000021,Gomez-Jenkins,Mid-Market,16776,2024-05-24 04:31:13.295294,S000006,Growth,1526.71,Monthly,2024-05-24 04:31:13.295294,,Active,,0.00067970785,Low,0.0048048687,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000007,O000029,House-Glover,Mid-Market,17920,2025-09-07 05:09:24.856106,S000007,Growth,1668.13,Monthly,2025-09-07 05:09:24.856106,,Active,,0.0023504281,Low,0.99875724,Pitch: upgrade tier / deeper feature access,Route to expansion play
A000008,O000036,"Garcia, Humphrey and Baker",Mid-Market,23983,2024-10-14 18:12:48.045036,S000008,Growth,1850.91,Monthly,2024-10-14 18:12:48.045036,,Active,,0.00195883,Low,0.0021248509,Pitch: additional seats,Healthy — no action needed
A000009,O000046,"Rivera, Johnson and Wiley",Mid-Market,43963,2026-05-10 02:08:50.169417,S000009,Growth,3191.03,Annual,2026-05-10 02:08:50.169417,2027-05-10 02:08:50.169417,Churned,2026-08-08 02:08:50.169417,,,,,Already churned
