lead_id,company_name,industry,company_size,lead_source,created_date,pricing_page_visits,demo_requested,content_downloads,email_opens,converted,converted_date
L000000,"Rodriguez, Figueroa and Sanchez",Fintech,163.0,Organic Search,2024-07-17,3,True,0,3,False,
L000001,Doyle Ltd,Retail,51.0,Paid Search,2023-10-13,2,False,2,2,False,
L000002,"Mcclain, Miller and Henderson",Fintech,522.0,Partner,2026-01-21,2,False,0,2,False,
L000003,Davis and Sons,FinTech,,Event/Webinar,2025-05-14,3,False,0,3,False,
L000004,"Guzman, Hoffman and Baldwin",SaaS,18.0,Organic Search,2023-07-11,7,True,0,2,False,
L000005,"Gardner, Robinson and Lawrence",Retail,17.0,Paid Search,2025-10-31,2,False,0,3,False,
L000006,Blake and Sons,Consulting,310.0,Organic Search,2026-02-23,2,False,0,3,True,2026-03-20
L000007,"Henderson, Ramirez and Lewis",Real Estate,370.0,Outbound SDR,2024-03-27,4,False,3,2,True,2024-05-23
L000008,Garcia-James,Consulting,99.0,Referral,2023-01-14,5,False,1,1,True,2023-02-03
L000009,Abbott-Munoz,Logistics,270.0,Referral,2024-07-23,4,False,3,4,False,
L000010,Blair PLC,healthcare,16.0,Paid Search,2024-11-20,1,False,2,5,False,
L000011,Dudley Group,Fintech,96.0,Organic Search,2025-02-17,1,True,1,3,True,2025-03-01
L000012,Arnold Ltd,Education,,Referral,2026-05-21,5,False,0,3,False,
L000013,"Mcclure, Ward and Lee",Manufacturing,14.0,Organic Search,2025-07-29,2,False,2,1,False,
L000014,Williams and Sons,Real Estate,58.0,Organic Search,2025-02-14,5,True,3,6,True,2025-02-24
L000015,Galloway-Wyatt,Real Estate,,Referral,2026-07-11,2,True,1,3,True,2026-08-19
L000016,James Group,Education,27.0,Event/Webinar,2024-01-29,4,False,1,2,False,
L000017,"Flowers, Martin and Kelly",,,Organic Search,2024-04-11,5,True,1,0,False,
L000018,"Adams, Zuniga and Wong",Manufacturing,,Organic Search,2024-04-21,5,False,1,4,False,
L000019,"Reid, Ferguson and Sanchez",,,Outbound SDR,2024-07-23,4,False,5,6,True,2024-09-19
L000020,Gray-Mayo,Education,50.0,Paid Search,2025-01-28,3,False,0,0,False,
L000021,"Watts, Robinson and Nguyen",Education,30.0,Paid Search,2024-06-30,3,False,0,1,False,
L000022,Perez Inc,Fintech,462.0,Event/Webinar,2026-07-24,4,True,1,0,False,
L000023,Morales-Jones,Healthcare,165.0,Event/Webinar,2024-05-16,2,True,1,6,True,2024-06-05
L000024,"Walter, Edwards and Rios",Media,,Outbound SDR,2024-07-06,2,True,0,0,False,
L000025,Wilkerson-Day,Real Estate,67.0,Paid Search,2024-10-26,1,False,1,4,True,2024-11-02
L000026,Baker and Sons,Retail,96.0,Organic Search,2024-10-08,3,True,1,5,True,2024-11-28
L000027,"Hoffman, Baker and Richards",Manufacturing,75.0,Organic Search,2024-03-08,4,True,0,2,True,2024-05-19
L000028,"Ross, Robinson and Bright",Education,,Paid Search,2025-10-19,1,False,4,4,True,2025-12-08
L000029,"Snyder, Campos and Callahan",Media,40.0,Paid Search,2024-06-26,6,False,2,2,False,
