lead_id,account_id,created_at,source,industry,region,company_size,web_sessions_30d,content_downloads,demo_requested,email_open_rate,pricing_page_views,engagement_score,lead_status,converted_to_opportunity,conversion_date
L100000,A100000,2023-04-19 19:07:33,Referral,Telecom,India,1-50,1,0,0,0.355,2,1.0,Disqualified,False,
L100001,A100001,2025-08-01 10:51:29,Organic Search,Healthcare IT,APAC,51-200,5,1,0,0.622,0,1.72,Disqualified,False,
L100002,A100002,2025-03-08 22:08:39,Organic Search,SaaS/Software,Europe,1-50,2,1,0,0.467,0,1.2,Disqualified,False,
L100003,A100003,2024-06-18 23:49:39,Referral,Media/Entertainment,APAC,201-1000,8,1,1,0.344,2,3.13,Working,False,
L100004,A100004,2024-06-11 20:17:37,Partner,Telecom,Europe,1-50,3,3,0,0.364,4,2.66,Converted,True,2024-06-17 20:17:37
L100005,A100005,2025-11-12 15:08:26,Referral,E-commerce/Retail,Europe,51-200,2,1,0,0.287,2,1.35,Converted,True,2025-11-22 15:08:26
L100006,A100006,2023-04-15 18:25:32,Paid Ads,EdTech,APAC,51-200,5,1,1,0.177,0,2.2,Working,False,
L100007,A100007,2025-04-30 02:11:56,Organic Search,Healthcare IT,Europe,51-200,4,4,0,0.216,1,2.3,Working,False,
L100008,A100008,2023-09-03 14:11:33,Event/Webinar,Healthcare IT,LATAM,51-200,7,1,1,0.045,1,2.41,Working,False,
L100009,A100009,2023-04-25 19:15:08,Paid Ads,Manufacturing,Europe,201-1000,9,3,0,0.24,2,2.69,Working,False,
L100010,A100010,2024-10-03 18:40:08,Outbound SDR,FinTech,MEA,1-50,3,1,0,0.431,0,1.25,Disqualified,False,
L100011,A100011,2026-04-04 06:48:27,Outbound SDR,Healthcare IT,India,201-1000,7,1,0,0.411,2,2.02,Disqualified,False,
L100012,A100012,2025-06-15 21:10:16,Organic Search,E-commerce/Retail,LATAM,51-200,6,0,0,0.338,2,1.47,Disqualified,False,
L100013,A100013,2025-07-16 19:54:11,Organic Search,Professional Services,India,201-1000,9,2,0,0.153,2,2.21,Working,False,
L100014,A100014,2025-05-24 14:30:54,Paid Ads,E-commerce/Retail,APAC,1000+,9,1,1,0.62,3,3.82,Converted,True,2025-07-01 14:30:54
L100015,A100015,2025-08-16 05:05:50,Paid Ads,Professional Services,APAC,201-1000,8,1,1,0.0,0,2.25,Working,False,
L100016,A100016,2024-09-17 14:57:23,Outbound SDR,SaaS/Software,APAC,1-50,4,0,0,0.377,2,1.33,Disqualified,False,
L100017,A100017,2023-06-06 04:05:32,Outbound SDR,Manufacturing,North America,51-200,5,2,0,0.795,0,2.31,Working,False,
L100018,A100018,2025-10-20 15:40:27,Organic Search,E-commerce/Retail,North America,51-200,4,1,0,0.469,3,2.01,Disqualified,False,
L100019,A100019,2024-07-03 00:29:27,Referral,Manufacturing,North America,1-50,2,0,1,0.237,3,2.23,Converted,True,2024-08-12 00:29:27
L100020,A100020,2024-09-01 22:17:44,Organic Search,Logistics,India,51-200,6,1,0,0.442,2,1.97,Disqualified,False,
L100021,A100021,2024-03-28 00:04:01,Organic Search,Telecom,North America,201-1000,7,1,0,0.409,2,2.02,Converted,True,2024-04-21 00:04:01
L100022,A100022,2023-08-11 12:40:19,Outbound SDR,Logistics,APAC,201-1000,4,2,0,0.383,4,2.44,Working,False,
L100023,A100023,2026-02-03 17:26:11,Outbound SDR,Media/Entertainment,North America,1-50,6,1,0,0.7,1,2.13,Working,False,
L100024,A100024,2025-08-10 17:32:14,Outbound SDR,Media/Entertainment,North America,201-1000,4,1,0,0.484,2,1.83,Disqualified,False,
L100025,A100025,2025-02-23 20:55:04,Organic Search,Telecom,APAC,51-200,3,0,0,0.388,1,1.04,Converted,True,2025-04-06 20:55:04
