opportunity_id,account_id,lead_id,opp_type,created_date,close_date,product_tier,deal_size_usd,competitor_present,num_stakeholders,sales_engineering_involved,engagement_score,total_cycle_days,outcome
O200000,A100004,L100004,New Business,2024-06-17 20:17:37,2024-07-06 20:17:37,Starter,2200.0,False,2,False,2.66,19.0,Won
O200001,A100005,L100005,New Business,2025-11-22 15:08:26,2026-02-03 15:08:26,Growth,9700.0,False,5,False,1.35,73.0,Lost
O200002,A100014,L100014,New Business,2025-07-01 14:30:54,2025-09-19 14:30:54,Enterprise,79100.0,True,6,False,3.82,80.0,Won
O200003,A100019,L100019,New Business,2024-08-12 00:29:27,2024-12-14 00:29:27,Starter,2800.0,False,5,False,2.23,124.0,Lost
O200004,A100021,L100021,New Business,2024-04-21 00:04:01,2024-06-05 00:04:01,Business,25300.0,False,6,True,2.02,45.0,Won
O200005,A100025,L100025,New Business,2025-04-06 20:55:04,2025-07-18 20:55:04,Growth,7600.0,False,3,False,1.04,103.0,Lost
O200006,A100028,L100028,New Business,2024-11-09 21:04:27,2025-01-24 21:04:27,Growth,8100.0,True,6,True,2.3,76.0,Lost
O200007,A100031,L100031,New Business,2023-10-13 00:05:45,2024-01-10 00:05:45,Starter,1900.0,False,2,False,1.73,89.0,Lost
O200008,A100036,L100036,New Business,2025-11-28 06:10:12,2026-01-07 06:10:12,Business,24600.0,False,1,True,2.08,40.0,Won
O200009,A100041,L100041,New Business,2025-07-26 02:36:53,2025-10-13 02:36:53,Starter,4400.0,False,2,False,1.54,79.0,Won
O200010,A100042,L100042,New Business,2025-06-11 22:29:59,2025-11-10 22:29:59,Growth,8100.0,True,1,True,1.75,152.0,Lost
O200011,A100047,L100047,New Business,2025-12-27 17:09:05,2026-05-22 17:09:05,Growth,7200.0,False,2,True,2.03,146.0,Won
O200012,A100059,L100059,New Business,2025-05-04 15:16:48,2025-08-11 15:16:48,Growth,9600.0,True,2,False,1.41,99.0,Lost
O200013,A100076,L100076,New Business,2024-03-06 12:13:26,,Business,19000.0,True,5,False,2.05,130.0,Open
O200014,A100077,L100077,New Business,2023-11-07 14:27:35,2024-02-29 14:27:35,Business,39400.0,False,3,True,2.01,114.0,Won
