opportunity_id,stage,entered_at,exited_at,days_in_stage
O200000,Prospecting,2024-06-17 20:17:37,2024-06-19 20:17:37,2.0
O200000,Qualification,2024-06-19 20:17:37,2024-06-22 20:17:37,3.0
O200000,Proposal,2024-06-22 20:17:37,2024-06-28 20:17:37,6.0
O200000,Negotiation,2024-06-28 20:17:37,2024-07-05 20:17:37,7.0
O200000,Closed,2024-07-05 20:17:37,2024-07-06 20:17:37,1.0
O200001,Prospecting,2025-11-22 15:08:26,2025-12-16 15:08:26,24.0
O200001,Qualification,2025-12-16 15:08:26,2026-01-06 15:08:26,21.0
O200001,Proposal,2026-01-06 15:08:26,2026-01-11 15:08:26,5.0
O200001,Negotiation,2026-01-11 15:08:26,2026-01-13 15:08:26,2.0
O200001,Closed,2026-01-13 15:08:26,2026-02-04 15:08:26,22.0
O200002,Prospecting,2025-07-01 14:30:54,2025-07-05 14:30:54,4.0
O200002,Qualification,2025-07-05 14:30:54,2025-07-15 14:30:54,10.0
O200002,Proposal,2025-07-15 14:30:54,2025-07-16 14:30:54,1.0
O200002,Negotiation,2025-07-16 14:30:54,2025-09-15 14:30:54,61.0
O200002,Closed,2025-09-15 14:30:54,2025-09-20 14:30:54,5.0
O200003,Prospecting,2024-08-12 00:29:27,2024-09-22 00:29:27,41.0
O200003,Qualification,2024-09-22 00:29:27,2024-10-09 00:29:27,17.0
O200003,Proposal,2024-10-09 00:29:27,2024-11-03 00:29:27,25.0
O200003,Negotiation,2024-11-03 00:29:27,2024-11-04 00:29:27,1.0
O200003,Closed,2024-11-04 00:29:27,2024-12-14 00:29:27,40.0
O200004,Prospecting,2024-04-21 00:04:01,2024-04-22 00:04:01,1.0
O200004,Qualification,2024-04-22 00:04:01,2024-05-12 00:04:01,20.0
O200004,Proposal,2024-05-12 00:04:01,2024-05-27 00:04:01,15.0
O200004,Negotiation,2024-05-27 00:04:01,2024-06-02 00:04:01,6.0
O200004,Closed,2024-06-02 00:04:01,2024-06-06 00:04:01,4.0
O200005,Prospecting,2025-04-06 20:55:04,2025-04-07 20:55:04,1.0
O200005,Qualification,2025-04-07 20:55:04,2025-05-04 20:55:04,27.0
O200005,Proposal,2025-05-04 20:55:04,2025-05-17 20:55:04,13.0
O200005,Negotiation,2025-05-17 20:55:04,2025-06-17 20:55:04,31.0
O200005,Closed,2025-06-17 20:55:04,2025-07-18 20:55:04,31.0
O200006,Prospecting,2024-11-09 21:04:27,2024-11-10 21:04:27,1.0
O200006,Qualification,2024-11-10 21:04:27,2024-11-20 21:04:27,10.0
O200006,Proposal,2024-11-20 21:04:27,2024-12-11 21:04:27,21.0
O200006,Negotiation,2024-12-11 21:04:27,2024-12-13 21:04:27,2.0
O200006,Closed,2024-12-13 21:04:27,2025-01-24 21:04:27,42.0
O200007,Prospecting,2023-10-13 00:05:45,2023-12-10 00:05:45,58.0
O200007,Qualification,2023-12-10 00:05:45,2023-12-25 00:05:45,15.0
O200007,Proposal,2023-12-25 00:05:45,2024-01-01 00:05:45,7.0
O200007,Negotiation,2024-01-01 00:05:45,2024-01-07 00:05:45,6.0
O200007,Closed,2024-01-07 00:05:45,2024-01-11 00:05:45,4.0
O200008,Prospecting,2025-11-28 06:10:12,2025-11-29 06:10:12,1.0
O200008,Qualification,2025-11-29 06:10:12,2025-12-04 06:10:12,5.0
O200008,Proposal,2025-12-04 06:10:12,2025-12-11 06:10:12,7.0
O200008,Negotiation,2025-12-11 06:10:12,2025-12-31 06:10:12,20.0
O200008,Closed,2025-12-31 06:10:12,2026-01-08 06:10:12,8.0
O200009,Prospecting,2025-07-26 02:36:53,2025-09-04 02:36:53,40.0
O200009,Qualification,2025-09-04 02:36:53,2025-09-16 02:36:53,12.0
O200009,Proposal,2025-09-16 02:36:53,2025-09-18 02:36:53,2.0
O200009,Negotiation,2025-09-18 02:36:53,2025-10-06 02:36:53,18.0
O200009,Closed,2025-10-06 02:36:53,2025-10-12 02:36:53,6.0
