subscription_id,account_id,plan_tier,mrr,start_date,end_date,status,billing_cycle
S300000,A100004,Starter,183.33,2024-07-06 20:17:37,,Active,Annual
S300001,A100014,Enterprise,6591.67,2025-09-19 14:30:54,,Active,Annual
S300002,A100021,Business,2108.33,2024-06-05 00:04:01,,Active,Monthly
S300003,A100036,Business,2050.0,2026-01-07 06:10:12,,Active,Annual
S300004,A100041,Starter,366.67,2025-10-13 02:36:53,,Active,Monthly
S300005,A100047,Growth,600.0,2026-05-22 17:09:05,,Active,Annual
S300006,A100077,Business,3283.33,2024-02-29 14:27:35,,Active,Annual
S300007,A100084,Growth,650.0,2025-05-31 16:23:03,,Active,Annual
S300008,A100088,Starter,233.33,2025-12-10 00:02:29,,Active,Monthly
S300009,A100112,Business,2341.67,2024-11-13 10:02:23,,Active,Annual
S300010,A100117,Starter,291.67,2023-11-26 05:47:49,,Active,Annual
S300011,A100139,Enterprise,5766.67,2024-01-12 13:53:21,,Active,Annual
S300012,A100142,Growth,733.33,2026-07-01 01:25:31,,Active,Monthly
S300013,A100151,Enterprise,4533.33,2024-08-30 10:22:20,,Active,Monthly
S300014,A100157,Growth,825.0,2025-08-19 19:09:24,,Active,Annual
S300015,A100181,Enterprise,4800.0,2023-12-09 14:45:34,,Active,Annual
S300016,A100217,Business,1733.33,2025-08-28 05:09:43,,Active,Annual
S300017,A100226,Growth,533.33,2026-04-12 05:06:26,,Active,Annual
S300018,A100228,Growth,566.67,2025-12-27 15:14:50,,Active,Monthly
S300019,A100230,Enterprise,2891.67,2025-08-14 00:36:29,,Active,Annual
S300020,A100231,Enterprise,5266.67,2025-06-16 13:26:47,,Active,Annual
S300021,A100238,Growth,566.67,2025-06-29 03:54:43,,Active,Annual
S300022,A100246,Enterprise,3833.33,2025-02-20 04:11:43,,Active,Annual
S300023,A100274,Growth,725.0,2024-04-28 06:11:13,,Active,Annual
S300024,A100280,Business,2033.33,2023-09-06 06:46:12,,Active,Monthly
S300025,A100281,Enterprise,7800.0,2025-04-27 22:28:33,,Active,Monthly
S300026,A100300,Business,1800.0,2024-04-11 08:33:30,,Active,Annual
S300027,A100301,Growth,975.0,2025-01-10 08:52:53,,Active,Monthly
S300028,A100310,Business,1575.0,2025-10-24 04:57:15,,Active,Annual
S300029,A100313,Growth,916.67,2024-03-08 21:47:51,,Active,Monthly
S300030,A100324,Starter,266.67,2024-08-16 03:42:08,,Active,Annual
S300031,A100340,Growth,391.67,2026-07-10 00:53:26,,Active,Monthly
S300032,A100345,Enterprise,8116.67,2024-05-12 05:37:59,,Active,Annual
S300033,A100353,Business,2183.33,2025-12-18 20:07:22,,Active,Annual
S300034,A100354,Starter,183.33,2026-05-03 21:01:30,,Active,Annual
S300035,A100355,Business,1816.67,2024-01-28 08:18:55,,Active,Annual
S300036,A100360,Enterprise,6175.0,2024-04-28 02:49:13,,Active,Monthly
S300037,A100361,Business,1958.33,2023-04-27 22:58:20,,Active,Annual
S300038,A100374,Starter,233.33,2026-06-12 23:24:19,,Active,Monthly
S300039,A100375,Enterprise,4533.33,2026-06-03 06:49:54,,Active,Annual
S300040,A100389,Starter,275.0,2023-03-29 14:13:30,,Active,Annual
S300041,A100399,Enterprise,4300.0,2024-08-15 16:17:36,,Active,Annual
S300042,A100400,Starter,366.67,2023-11-16 09:51:55,,Active,Annual
S300044,A100410,Business,1308.33,2023-10-27 12:19:54,,Active,Annual
S300045,A100430,Growth,658.33,2026-04-04 16:46:11,,Active,Annual
S300046,A100431,Starter,275.0,2023-07-05 13:55:10,,Active,Monthly
S300047,A100439,Growth,716.67,2024-04-01 10:42:21,,Active,Monthly
S300048,A100450,Growth,883.33,2025-07-04 19:34:33,,Active,Annual
S300049,A100451,Starter,358.33,2026-02-08 22:15:24,,Active,Annual
S300050,A100462,Business,1866.67,2026-06-05 08:31:38,,Active,Annual
