ticket_id,account_id,created_date,priority,resolved_date,csat_score
T400000,A100004,2024-08-27 20:17:37,Low,2024-08-31 20:17:37,3.8
T400001,A100004,2024-09-23 20:17:37,High,2024-09-25 20:17:37,2.5
T400002,A100004,2024-09-23 20:17:37,High,2024-10-01 20:17:37,4.2
T400003,A100004,2024-12-04 20:17:37,Medium,2024-12-13 20:17:37,5.0
T400004,A100004,2025-07-27 20:17:37,Low,2025-08-04 20:17:37,2.9
T400005,A100004,2025-08-25 20:17:37,Low,2025-08-29 20:17:37,3.1
T400006,A100004,2025-09-15 20:17:37,Medium,2025-09-17 20:17:37,2.8
T400007,A100004,2025-09-02 20:17:37,High,2025-09-04 20:17:37,3.4
T400008,A100004,2025-10-23 20:17:37,Medium,2025-10-29 20:17:37,4.7
T400009,A100004,2026-07-15 20:17:37,High,2026-07-23 20:17:37,2.9
T400010,A100004,2026-08-12 20:17:37,Medium,2026-08-15 20:17:37,3.4
T400011,A100014,2025-09-11 14:30:54,Low,2025-09-18 14:30:54,1.7
T400012,A100014,2025-10-25 14:30:54,Low,2025-11-01 14:30:54,4.3
T400013,A100014,2025-10-09 14:30:54,Medium,2025-10-17 14:30:54,4.5
T400014,A100014,2025-11-17 14:30:54,Low,2025-11-26 14:30:54,3.1
T400015,A100014,2025-11-09 14:30:54,Medium,2025-11-12 14:30:54,2.1
T400016,A100014,2026-01-12 14:30:54,Medium,2026-01-13 14:30:54,2.7
T400017,A100014,2026-01-11 14:30:54,Low,2026-01-20 14:30:54,2.2
T400018,A100014,2026-02-13 14:30:54,Low,2026-02-18 14:30:54,2.3
T400019,A100014,2026-03-03 14:30:54,High,2026-03-12 14:30:54,4.8
T400020,A100014,2026-05-08 14:30:54,High,2026-05-09 14:30:54,3.3
T400021,A100014,2026-05-04 14:30:54,Medium,2026-05-06 14:30:54,4.4
T400022,A100014,2026-05-22 14:30:54,High,2026-05-30 14:30:54,3.7
T400023,A100014,2026-06-12 14:30:54,High,2026-06-13 14:30:54,4.8
T400024,A100014,2026-07-20 14:30:54,Low,2026-07-27 14:30:54,4.4
T400025,A100014,2026-08-20 14:30:54,Critical,2026-08-25 14:30:54,4.2
T400026,A100021,2024-07-09 00:04:01,Medium,2024-07-15 00:04:01,5.0
T400027,A100021,2024-10-10 00:04:01,High,2024-10-11 00:04:01,3.8
T400028,A100021,2024-12-05 00:04:01,Low,2024-12-09 00:04:01,3.6
T400029,A100021,2025-08-10 00:04:01,Low,2025-08-18 00:04:01,5.0
T400030,A100021,2025-09-13 00:04:01,Medium,2025-09-22 00:04:01,4.6
T400031,A100021,2025-10-13 00:04:01,Low,2025-10-17 00:04:01,4.2
T400032,A100021,2025-11-23 00:04:01,High,2025-11-28 00:04:01,3.6
T400033,A100021,2026-01-10 00:04:01,Low,2026-01-13 00:04:01,5.0
T400034,A100021,2026-04-15 00:04:01,Medium,2026-04-23 00:04:01,4.2
T400035,A100021,2026-06-10 00:04:01,Low,2026-06-14 00:04:01,4.3
T400036,A100021,2026-08-20 00:04:01,Low,2026-08-26 00:04:01,3.2
T400037,A100036,2026-01-05 06:10:12,Low,2026-01-11 06:10:12,3.9
T400038,A100036,2026-06-19 06:10:12,Low,2026-06-22 06:10:12,5.0
T400039,A100036,2026-07-19 06:10:12,Low,2026-07-21 06:10:12,4.1
T400040,A100041,2025-10-21 02:36:53,Medium,2025-10-30 02:36:53,3.9
T400041,A100041,2026-01-22 02:36:53,Medium,2026-01-26 02:36:53,5.0
T400042,A100041,2026-04-18 02:36:53,Medium,2026-04-20 02:36:53,2.7
T400043,A100047,2026-05-17 17:09:05,Critical,2026-05-23 17:09:05,3.9
T400044,A100047,2026-06-09 17:09:05,Medium,2026-06-11 17:09:05,4.1
T400045,A100047,2026-06-21 17:09:05,Low,2026-06-22 17:09:05,2.3
T400046,A100047,2026-08-18 17:09:05,Low,2026-08-20 17:09:05,2.4
T400047,A100047,2026-08-10 17:09:05,High,2026-08-15 17:09:05,3.1
T400048,A100077,2024-05-07 14:27:35,High,2024-05-15 14:27:35,4.0
T400049,A100077,2024-08-11 14:27:35,Medium,2024-08-14 14:27:35,2.9
