account_id,month,tenure_months,active_users,feature_adoption_pct,logins_per_user,api_calls,support_tickets_this_month,health_score,mrr,plan_tier,price_increase_flag
A100004,2024-07-01 20:17:37,1,7,0.711,11.1,170,0,67.6,183.33,Starter,False
A100004,2024-08-01 20:17:37,2,11,0.693,17.2,251,1,69.8,183.33,Starter,False
A100004,2024-09-01 20:17:37,3,3,0.688,11.1,385,2,72.1,183.33,Starter,False
A100004,2024-10-01 20:17:37,4,4,0.658,12.8,268,0,73.6,183.33,Starter,False
A100004,2024-11-01 20:17:37,5,5,0.753,13.2,223,0,75.0,183.33,Starter,False
A100004,2024-12-01 20:17:37,6,1,0.808,16.2,278,1,78.3,183.33,Starter,False
A100004,2025-01-01 20:17:37,7,8,0.692,9.2,151,0,72.2,183.33,Starter,False
A100004,2025-02-01 20:17:37,8,5,0.653,13.7,163,0,66.1,183.33,Starter,False
A100004,2025-03-01 20:17:37,9,8,0.754,8.3,219,0,69.7,183.33,Starter,False
A100004,2025-04-01 20:17:37,10,5,0.709,11.4,329,0,75.0,183.33,Starter,False
A100004,2025-05-01 20:17:37,11,3,0.762,12.7,135,0,76.6,183.33,Starter,False
A100004,2025-06-01 20:17:37,12,2,0.783,13.8,365,0,75.7,183.33,Starter,True
A100004,2025-07-01 20:17:37,13,11,0.658,14.7,97,1,73.1,183.33,Starter,False
A100004,2025-08-01 20:17:37,14,2,0.666,16.1,204,1,67.8,183.33,Starter,False
A100004,2025-09-01 20:17:37,15,4,0.686,13.9,182,2,67.4,183.33,Starter,False
A100004,2025-10-01 20:17:37,16,5,0.682,17.6,253,1,75.4,183.33,Starter,False
A100004,2025-11-01 20:17:37,17,3,0.742,19.8,146,0,74.7,183.33,Starter,False
A100004,2025-12-01 20:17:37,18,6,0.732,11.6,258,0,71.5,183.33,Starter,False
A100004,2026-01-01 20:17:37,19,8,0.741,16.6,271,0,76.0,183.33,Starter,False
A100004,2026-02-01 20:17:37,20,8,0.791,12.6,264,0,75.3,183.33,Starter,False
A100004,2026-03-01 20:17:37,21,4,0.698,13.6,182,0,71.7,183.33,Starter,False
A100004,2026-04-01 20:17:37,22,3,0.776,17.6,278,0,77.0,183.33,Starter,False
A100004,2026-05-01 20:17:37,23,7,0.792,15.6,152,0,76.8,183.33,Starter,False
A100004,2026-06-01 20:17:37,24,8,0.742,15.7,31,0,76.4,183.33,Starter,False
A100004,2026-07-01 20:17:37,25,6,0.666,16.1,213,1,73.4,183.33,Starter,False
A100004,2026-08-01 20:17:37,26,8,0.732,15.6,239,1,75.4,183.33,Starter,False
A100014,2025-09-01 14:30:54,1,16,0.693,9.6,1313,1,56.7,6591.67,Enterprise,False
A100014,2025-10-01 14:30:54,2,17,0.632,11.8,1289,2,58.5,6591.67,Enterprise,False
A100014,2025-11-01 14:30:54,3,18,0.488,14.8,1316,2,58.6,6591.67,Enterprise,False
A100014,2025-12-01 14:30:54,4,14,0.593,13.5,1316,0,58.3,6591.67,Enterprise,False
A100014,2026-01-01 14:30:54,5,18,0.626,12.5,1225,2,59.5,6591.67,Enterprise,False
A100014,2026-02-01 14:30:54,6,20,0.629,10.5,1261,1,64.4,6591.67,Enterprise,False
A100014,2026-03-01 14:30:54,7,28,0.696,15.5,1478,1,68.9,6591.67,Enterprise,False
A100014,2026-04-01 14:30:54,8,26,0.722,17.6,1533,0,66.2,6591.67,Enterprise,False
A100014,2026-05-01 14:30:54,9,17,0.595,9.0,1387,3,64.6,6591.67,Enterprise,False
A100014,2026-06-01 14:30:54,10,22,0.584,8.4,1233,1,56.7,6591.67,Enterprise,False
A100014,2026-07-01 14:30:54,11,22,0.685,10.0,1361,1,63.2,6591.67,Enterprise,False
A100014,2026-08-01 14:30:54,12,21,0.672,20.0,1533,1,68.9,6591.67,Enterprise,True
A100021,2024-06-01 00:04:01,1,25,0.655,11.4,1164,0,76.3,2108.33,Business,False
A100021,2024-07-01 00:04:01,2,22,0.811,15.3,1051,1,79.8,2108.33,Business,False
A100021,2024-08-01 00:04:01,3,26,0.896,16.1,1189,0,84.8,2108.33,Business,False
A100021,2024-09-01 00:04:01,4,8,0.813,14.3,1350,0,81.2,2108.33,Business,False
A100021,2024-10-01 00:04:01,5,33,0.908,15.3,1382,1,90.1,2108.33,Business,False
A100021,2024-11-01 00:04:01,6,23,0.931,17.4,1414,0,93.6,2108.33,Business,False
A100021,2024-12-01 00:04:01,7,18,0.933,21.2,1477,1,90.8,2108.33,Business,False
A100021,2025-01-01 00:04:01,8,26,0.964,14.6,1589,0,94.1,2108.33,Business,False
A100021,2025-02-01 00:04:01,9,28,0.869,15.3,1470,0,92.2,2108.33,Business,False
A100021,2025-03-01 00:04:01,10,14,0.944,22.3,1282,0,93.4,2108.33,Business,False
A100021,2025-04-01 00:04:01,11,19,0.895,9.0,1456,0,91.0,2108.33,Business,False
A100021,2025-05-01 00:04:01,12,37,0.869,11.1,1334,0,87.9,2108.33,Business,False
