subscription_id,account_id,plan,mrr,billing_frequency,contract_start_date,contract_end_date,status,churn_date
S000000,A000000,Growth,2818.63,Annual,2024-08-29 02:32:10.291873,2025-08-29 02:32:10.291873,Active,
S000001,A000001,Growth,5445.96,Annual,2025-05-21 20:09:30.755158,2026-05-21 20:09:30.755158,Active,
S000002,A000002,Growth,1411.18,Monthly,2024-11-18 15:35:36.421448,,Active,
S000003,A000003,Growth,5353.96,Annual,2024-07-25 20:11:05.331064,2025-07-25 20:11:05.331064,Active,
S000004,A000004,Starter,471.53,Monthly,2026-03-17 15:12:31.226309,,Active,
S000005,A000005,Starter,431.08,Annual,2024-11-15 20:06:05.672950,2025-11-15 20:06:05.672950,Active,
S000006,A000006,Growth,1526.71,Monthly,2024-05-24 04:31:13.295294,,Active,
S000007,A000007,Growth,1668.13,Monthly,2025-09-07 05:09:24.856106,,Active,
S000008,A000008,Growth,1850.91,Monthly,2024-10-14 18:12:48.045036,,Active,
S000009,A000009,Growth,3191.03,Annual,2026-05-10 02:08:50.169417,2027-05-10 02:08:50.169417,Churned,2026-08-08 02:08:50.169417
S000010,A000010,Starter,1204.14,Annual,2024-06-12 01:34:41.840869,2025-06-12 01:34:41.840869,Active,
S000011,A000011,Growth,1945.13,Monthly,2026-06-29 01:48:48.444121,,Active,
S000012,A000012,Starter,751.27,Monthly,2026-06-10 15:27:31.347248,,Active,
S000013,A000013,Starter,620.63,Annual,2025-11-23 05:04:48.580482,2026-11-23 05:04:48.580482,Active,
S000014,A000014,Starter,1081.58,Annual,2024-05-21 00:35:16.436350,2025-05-21 00:35:16.436350,Active,
S000015,A000015,Starter,329.89,Annual,2025-08-17 10:16:11.455850,2026-08-17 10:16:11.455850,Churned,2026-01-14 10:16:11.455850
S000016,A000016,Starter,424.82,Annual,2023-07-21 09:03:59.223845,2024-07-20 09:03:59.223845,Active,
S000017,A000017,Starter,925.95,Annual,2024-11-14 07:34:10.734696,2025-11-14 07:34:10.734696,Active,
S000018,A000018,Starter,439.83,Monthly,2025-11-11 00:27:43.312924,,Active,
S000019,A000019,Starter,1036.69,Monthly,2026-03-25 09:54:25.551973,,Active,
S000020,A000020,Growth,2243.76,Monthly,2026-08-03 16:17:23.571948,,Active,
