ticket_id,account_id,opened_date,severity,resolved,resolution_time_days
T000000,A000000,2025-10-21 11:36:29.038153,Low,True,2.5
T000001,A000000,2026-02-13 00:35:06.547892,Low,True,6.9
T000002,A000000,2025-07-23 21:08:52.367114,Low,True,4.9
T000003,A000000,2024-11-21 14:02:35.399950,Low,True,3.3
T000004,A000001,2026-02-19 08:47:37.779276,Medium,True,0.5
T000005,A000001,2025-08-28 01:07:09.359691,Low,True,3.3
T000006,A000001,2025-10-09 07:58:02.383758,Low,True,10.4
T000007,A000001,2026-06-12 09:30:44.008687,Low,False,
T000008,A000001,2025-06-29 12:55:45.130363,High,True,4.2
T000009,A000001,2026-07-22 00:47:46.330996,High,True,6.0
T000010,A000001,2025-11-11 05:30:10.502754,Low,True,3.8
T000011,A000001,2025-06-15 15:39:51.002253,Low,True,6.7
T000012,A000001,2025-06-11 03:42:15.377717,Low,True,2.7
T000013,A000002,2025-07-24 18:01:01.112965,High,True,2.7
T000014,A000002,2025-10-27 19:36:55.982359,Medium,True,1.7
T000015,A000002,2025-02-03 02:35:35.460436,Medium,False,
T000016,A000002,2026-08-29 06:17:44.585604,Low,True,1.0
T000017,A000002,2026-07-25 10:58:58.032458,Medium,True,3.7
T000018,A000002,2025-10-02 17:22:01.044265,Low,False,
T000019,A000002,2025-02-14 01:31:01.630465,Medium,True,3.8
T000020,A000002,2025-01-13 15:53:57.421810,Low,False,
T000021,A000002,2025-08-23 11:13:43.290169,Low,True,0.4
T000022,A000002,2025-01-16 13:01:52.815262,High,True,8.5
T000023,A000002,2026-03-12 09:25:24.231781,,True,6.4
T000024,A000002,2024-11-28 00:42:00.473614,High,True,1.7
T000025,A000002,2025-01-13 06:52:07.822942,High,True,1.5
T000026,A000003,2026-03-19 14:21:06.469116,Medium,True,7.7
T000027,A000003,2024-08-11 14:53:05.167343,High,True,1.3
T000028,A000003,2025-05-06 13:54:30.635109,,True,3.5
T000029,A000003,2025-01-16 05:42:35.711100,Low,True,2.7
T000030,A000003,2026-02-08 02:03:58.529866,Low,True,3.4
T000031,A000003,2025-01-22 04:10:23.281178,Low,True,1.7
T000032,A000003,2024-07-26 09:19:51.562312,Low,False,
T000033,A000003,2025-05-12 16:06:01.077037,Low,True,3.8
T000034,A000003,2026-01-14 04:54:20.434699,Low,True,1.7
T000035,A000003,2025-11-23 10:17:15.164337,Low,True,1.4
T000036,A000003,2026-05-02 21:17:05.595055,Low,True,3.5
T000037,A000003,2024-11-13 19:17:28.426846,,True,0.3
T000038,A000003,2025-07-12 09:35:52.361752,Low,False,
T000039,A000004,2026-07-22 18:47:33.444591,Low,True,6.1
T000040,A000004,2026-06-11 11:47:56.119526,Medium,True,4.6
T000041,A000004,2026-06-23 16:41:20.048796,Low,True,1.4
T000042,A000004,2026-07-13 02:39:53.339868,Medium,True,0.8
T000043,A000004,2026-06-13 01:25:54.708639,Low,True,1.5
T000044,A000004,2026-06-06 23:17:52.996062,Medium,False,
T000045,A000005,2026-05-05 00:34:46.904788,Low,True,3.3
T000046,A000005,2025-01-10 09:08:10.965812,Low,True,2.7
T000047,A000005,2025-03-05 17:43:04.402557,High,True,9.2
T000048,A000005,2026-03-27 06:21:23.372320,Medium,True,7.4
T000049,A000005,2026-05-14 14:52:16.613034,Medium,True,3.3
T000050,A000005,2025-02-08 01:26:11.702976,Medium,False,
T000051,A000006,2025-02-16 02:45:54.229889,Medium,True,0.8
T000052,A000006,2025-08-08 03:45:48.068192,Medium,True,3.1
T000053,A000006,2025-08-05 10:55:42.433712,,True,14.9
T000054,A000006,2026-08-29 01:44:18.129957,Low,True,8.0
T000055,A000006,2026-07-19 03:36:50.746272,Low,True,1.7
T000056,A000006,2024-10-10 00:31:39.577192,,True,2.6
T000057,A000006,2025-04-15 15:58:52.135291,Low,True,4.8
T000058,A000006,2024-12-07 04:43:32.620873,High,True,0.1
T000059,A000006,2024-07-31 14:53:35.667057,Medium,True,0.6
T000060,A000007,2026-03-21 19:07:07.880787,,True,1.4
T000061,A000007,2025-10-06 13:14:57.444676,High,True,7.4
T000062,A000007,2025-10-05 13:22:11.793619,Low,True,4.8
T000063,A000008,2026-02-17 14:39:43.958332,Low,True,8.8
T000064,A000008,2025-04-11 18:44:13.085068,Low,True,4.6
T000065,A000008,2025-10-11 04:53:50.145120,Low,True,7.4
T000066,A000008,2025-06-30 02:06:00.368476,Low,True,7.0
T000067,A000008,2024-11-12 02:31:56.952230,Medium,True,4.1
T000068,A000008,2026-07-12 19:38:06.290717,Low,True,5.6
T000069,A000008,2025-05-29 23:31:29.054535,Low,True,8.0
T000070,A000008,2025-10-20 17:30:25.099657,Low,True,1.9
T000071,A000009,2026-07-14 01:00:48.379473,Medium,True,6.2
T000072,A000009,2026-06-30 21:19:48.208552,High,True,1.4
T000073,A000009,2026-07-10 09:40:45.564170,Medium,True,2.9
T000074,A000009,2026-08-04 00:19:48.473990,Medium,True,2.3
T000075,A000009,2026-07-30 14:08:31.744074,Medium,True,2.0
T000076,A000009,2026-06-25 21:31:54.468189,,True,9.5
T000077,A000010,2025-08-02 19:24:10.667063,Medium,False,
T000078,A000010,2025-03-31 17:12:34.684924,High,True,2.7
T000079,A000010,2025-05-22 02:24:55.515269,Low,True,4.7
T000080,A000010,2026-03-19 06:24:14.823924,Medium,True,4.8
T000081,A000010,2024-07-24 20:43:15.155662,Low,True,3.1
T000082,A000010,2025-11-02 11:41:07.222463,Medium,True,4.3
T000083,A000010,2024-09-29 05:04:46.641643,High,True,9.4
T000084,A000010,2026-06-20 19:12:02.216740,High,True,1.1
T000085,A000010,2026-08-27 02:10:02.144512,Low,True,2.8
T000086,A000010,2024-11-21 07:21:32.576688,Medium,True,3.3
T000087,A000010,2025-05-07 08:12:38.980145,Medium,True,7.6
T000088,A000011,2026-08-06 00:30:01.247358,High,True,3.4
T000089,A000011,2026-08-06 06:11:09.462600,Medium,False,
T000090,A000012,2026-06-12 05:52:37.987207,High,True,5.7
T000091,A000013,2026-07-09 05:16:57.712538,Medium,True,8.4
T000092,A000013,2026-07-11 21:20:12.330636,Medium,True,4.9
T000093,A000013,2026-06-19 02:07:38.963389,High,True,2.7
T000094,A000013,2026-04-18 16:52:35.214503,Low,False,
T000095,A000013,2026-08-15 18:32:34.981013,Medium,False,
T000096,A000013,2026-04-29 08:32:06.131561,High,True,3.2
T000097,A000013,2026-03-16 13:24:47.909309,High,True,4.2
T000098,A000013,2026-08-12 15:13:54.470297,High,True,5.1
T000099,A000013,2026-06-13 04:13:55.537968,Low,False,
T000100,A000013,2026-04-07 01:45:53.948698,Medium,True,0.5
T000101,A000014,2025-11-25 03:40:27.683699,Low,True,6.0
T000102,A000014,2025-11-09 05:12:32.096889,Medium,True,5.0
T000103,A000014,2025-01-07 08:09:53.582236,Low,True,3.4
T000104,A000014,2024-07-26 22:41:43.841578,High,True,5.6
T000105,A000014,2025-10-16 03:37:29.584845,Low,True,1.1
T000106,A000014,2026-06-02 20:28:08.414752,High,True,4.8
T000107,A000014,2024-09-08 16:07:19.225199,Low,True,0.8
T000108,A000014,2024-09-09 22:19:14.265419,,True,3.9
T000109,A000014,2025-12-20 19:25:48.562187,Low,True,0.1
T000110,A000014,2024-09-13 07:35:00.148844,Low,True,1.4
T000111,A000014,2025-02-07 06:45:32.853865,Medium,False,
T000112,A000015,2025-10-27 21:57:06.806281,High,True,1.7
T000113,A000016,2023-11-09 21:05:24.953247,Medium,True,2.5
T000114,A000016,2026-04-24 14:59:28.592450,Medium,True,1.8
T000115,A000016,2025-12-20 01:32:04.497752,Low,True,8.8
T000116,A000016,2026-01-18 04:58:24.466968,Low,True,1.2
T000117,A000016,2025-08-05 12:09:49.395987,Low,True,10.6
T000118,A000016,2025-12-04 00:02:02.177071,Low,True,10.4
T000119,A000016,2024-02-17 09:10:40.378217,Medium,True,0.6
T000120,A000016,2026-08-01 11:14:34.511302,Medium,True,5.7
T000121,A000016,2024-06-30 01:38:30.250540,High,True,5.5
T000122,A000016,2024-08-05 18:47:43.301425,Low,False,
T000123,A000016,2024-01-21 03:38:35.927077,Medium,True,3.1
T000124,A000016,2026-08-20 14:44:29.371833,Medium,True,3.2
T000125,A000016,2024-10-29 23:13:43.563624,Low,True,4.6
T000126,A000016,2024-05-06 09:52:09.424048,,True,3.4
T000127,A000016,2024-08-14 02:48:10.006704,Low,True,2.5
T000128,A000017,2026-07-05 03:00:15.578767,High,True,3.5
T000129,A000017,2026-06-26 01:34:59.992194,Medium,True,4.7
T000130,A000017,2026-06-04 17:35:33.095945,Low,True,2.4
T000131,A000017,2025-07-16 21:18:07.649738,High,True,3.0
T000132,A000017,2025-03-05 21:29:02.036588,Medium,False,
T000133,A000017,2026-03-18 12:35:51.868747,Low,True,1.6
T000134,A000017,2026-06-12 20:38:43.223464,,True,5.2
T000135,A000017,2025-09-09 11:27:45.168585,Medium,True,3.2
T000136,A000018,2026-05-12 18:47:53.906403,Low,True,2.2
T000137,A000018,2025-11-25 15:59:09.510096,Low,True,1.6
T000138,A000018,2026-06-22 17:34:17.706680,Low,True,6.1
T000139,A000018,2026-05-28 14:23:15.558123,Medium,False,
T000140,A000018,2026-05-17 01:35:18.234643,Low,True,7.4
T000141,A000018,2026-07-24 01:59:20.523993,Medium,True,6.0
T000142,A000018,2026-02-06 01:42:44.963172,,True,3.4
T000143,A000019,2026-03-27 19:10:19.557163,Low,True,7.5
T000144,A000019,2026-04-08 00:50:09.759318,Medium,True,7.5
T000145,A000021,2025-10-03 00:52:23.673226,Medium,True,5.2
T000146,A000021,2024-10-29 07:34:59.362694,,True,1.6
T000147,A000021,2024-11-19 15:02:59.985189,Low,True,7.6
T000148,A000021,2025-12-25 20:01:46.308308,High,True,11.0
T000149,A000021,2026-01-18 14:49:46.752794,Low,True,0.1
T000150,A000021,2025-10-02 08:27:59.793578,Low,True,2.6
T000151,A000021,2026-06-18 09:18:58.868941,Low,True,7.6
T000152,A000021,2024-12-31 12:00:45.196443,Low,True,2.7
T000153,A000021,2025-04-01 15:11:52.833754,Low,True,11.2
T000154,A000021,2024-10-07 00:19:12.128670,Low,True,2.8
T000155,A000021,2025-01-15 05:09:34.681894,Low,True,4.5
T000156,A000021,2024-11-14 03:01:38.439467,Low,True,2.4
T000157,A000021,2026-07-19 23:36:20.861747,Medium,True,9.8
T000158,A000021,2025-05-24 11:21:47.577672,Low,True,8.7
T000159,A000022,2025-04-07 04:16:13.977205,High,False,
T000160,A000022,2025-04-10 09:29:21.177291,,True,3.1
T000161,A000022,2025-06-06 01:32:42.086367,High,True,3.8
T000162,A000022,2025-04-10 16:54:21.390615,Low,False,
T000163,A000022,2025-03-26 05:15:55.111589,High,False,
T000164,A000022,2025-05-19 21:21:32.222950,High,True,1.6
T000165,A000022,2025-05-01 19:39:02.915439,High,True,6.3
T000166,A000022,2025-03-05 15:53:52.239477,Medium,True,9.1
T000167,A000022,2024-12-20 02:32:00.214361,Low,False,
T000168,A000022,2025-01-29 22:25:19.781141,,False,
T000169,A000022,2025-05-02 04:21:51.525865,,True,3.7
T000170,A000022,2025-03-10 07:47:53.378293,Medium,True,3.6
T000171,A000022,2025-02-14 21:44:25.315615,,True,6.2
T000172,A000022,2025-03-08 07:38:41.453596,Medium,False,
T000173,A000023,2025-08-14 06:42:14.031974,Medium,False,
T000174,A000023,2025-11-11 08:27:23.767660,Low,True,7.0
T000175,A000023,2026-05-17 07:16:59.534423,Low,True,1.6
T000176,A000023,2026-02-10 14:12:56.035555,Medium,True,5.5
T000177,A000023,2026-01-10 18:11:03.649594,Low,True,4.2
T000178,A000024,2025-12-05 15:11:39.338586,Low,True,4.7
T000179,A000024,2026-08-08 08:27:14.257543,,True,0.7
T000180,A000024,2025-11-04 16:11:33.862438,Low,True,2.4
T000181,A000024,2026-05-13 02:39:17.737266,Low,False,
T000182,A000024,2026-04-08 07:00:22.164401,Medium,True,4.4
T000183,A000025,2025-09-29 02:35:52.703285,,True,1.8
T000184,A000025,2024-10-03 17:43:01.476622,Medium,True,2.3
T000185,A000025,2025-10-05 20:29:36.270872,High,False,
T000186,A000025,2025-10-16 09:21:30.829321,Low,True,1.8
T000187,A000025,2024-07-28 20:16:08.882804,Low,True,2.3
T000188,A000025,2024-11-26 06:45:47.935956,Low,True,6.3
T000189,A000025,2025-10-02 21:01:25.354641,Medium,True,7.2
T000190,A000025,2025-09-11 08:44:30.216948,Low,True,0.6
T000191,A000025,2025-03-23 09:26:37.367398,Low,True,5.5
T000192,A000025,2024-09-26 22:27:55.377128,Medium,True,4.7
T000193,A000025,2025-09-09 09:06:26.926765,Low,True,1.3
T000194,A000025,2025-07-29 07:24:17.814411,Low,False,
T000195,A000026,2026-06-20 12:27:39.505608,Medium,False,
T000196,A000026,2026-01-28 09:00:18.417961,Low,True,3.1
T000197,A000026,2025-12-10 19:10:46.575655,Low,False,
T000198,A000026,2024-12-22 19:47:41.861854,Medium,True,3.9
T000199,A000026,2025-10-21 19:50:07.998328,Medium,True,1.8
T000200,A000026,2026-06-26 02:45:08.071204,High,True,0.8
T000201,A000026,2026-06-29 18:45:02.611176,,True,1.1
T000202,A000026,2024-12-14 04:11:55.501885,Low,True,4.4
T000203,A000027,2025-03-18 22:52:45.294346,Medium,False,
T000204,A000027,2025-07-31 19:39:10.196472,Low,False,
T000205,A000027,2025-08-02 15:15:08.485914,High,False,
T000206,A000027,2025-03-27 17:12:41.633728,,True,3.7
T000207,A000027,2024-10-09 22:11:33.325400,Low,True,2.0
T000208,A000027,2024-08-03 05:45:54.300157,Low,False,
T000209,A000027,2025-10-12 05:30:50.417738,High,True,2.3
T000210,A000027,2025-03-18 16:21:17.460524,,False,
T000211,A000027,2025-07-28 14:38:26.806770,Low,True,4.3
T000212,A000027,2025-06-14 17:53:54.458323,Medium,True,3.8
T000213,A000027,2025-05-11 14:27:50.404525,High,False,
T000214,A000027,2025-08-15 17:49:03.816791,High,True,5.7
T000215,A000027,2025-10-05 09:19:59.037814,Medium,True,1.4
T000216,A000027,2025-07-01 12:39:54.850676,High,True,5.2
T000217,A000027,2025-06-03 09:53:35.607727,High,True,3.2
T000218,A000028,2026-05-09 15:14:22.678405,Low,True,2.4
T000219,A000029,2026-04-06 22:55:28.925558,Low,False,
T000220,A000029,2026-08-23 16:03:24.375576,Medium,True,5.8
T000221,A000029,2025-07-11 02:59:59.282253,Medium,False,
T000222,A000029,2025-01-23 01:57:39.067169,Low,True,2.7
T000223,A000029,2024-07-09 08:39:59.027807,Low,True,3.1
T000224,A000029,2024-07-01 23:54:00.190002,Medium,False,
T000225,A000029,2024-09-26 02:35:39.326055,High,True,14.6
T000226,A000029,2024-09-01 16:33:51.874593,Medium,True,5.5
T000227,A000029,2026-08-22 11:34:39.843897,Medium,True,3.7
T000228,A000029,2024-01-16 18:10:00.331487,Low,False,
T000229,A000029,2025-06-13 02:41:27.161711,Low,True,4.7
T000230,A000029,2025-05-27 22:57:33.757987,Medium,True,3.5
T000231,A000029,2025-05-17 03:03:46.868524,Low,True,3.5
T000232,A000029,2024-09-16 15:27:43.383774,Medium,True,4.4
T000233,A000029,2026-05-06 05:32:45.361365,Medium,True,4.3
T000234,A000029,2024-11-20 17:29:48.331407,High,True,6.8
T000235,A000029,2026-01-26 12:18:47.123646,Medium,True,7.2
T000236,A000029,2026-04-12 11:13:40.569112,Low,True,0.9
T000237,A000029,2025-09-26 02:07:33.207239,Low,False,
T000238,A000030,2024-12-24 15:50:47.844772,Medium,True,7.7
T000239,A000030,2025-01-13 20:50:15.878179,High,True,2.9
T000240,A000030,2024-10-30 03:19:07.719227,Medium,False,
T000241,A000031,2025-07-06 17:56:09.028345,Medium,True,0.3
T000242,A000031,2025-09-30 08:18:48.292747,Low,True,4.3
T000243,A000031,2025-07-06 15:12:31.563071,Low,True,2.0
T000244,A000031,2025-05-12 08:05:19.638520,,True,5.5
T000245,A000031,2025-11-21 04:41:07.051364,Low,True,8.8
T000246,A000031,2025-11-22 00:22:46.190903,Low,True,0.8
T000247,A000031,2025-06-27 19:19:38.156167,Low,True,9.1
T000248,A000031,2026-03-10 00:55:56.493780,,True,5.1
T000249,A000031,2025-07-12 14:42:49.466739,Low,True,6.8
T000250,A000032,2025-09-23 06:02:56.036700,Medium,False,
T000251,A000032,2025-11-15 23:09:36.812437,High,True,4.4
T000252,A000032,2025-09-20 10:31:42.978065,Low,True,3.1
T000253,A000032,2025-12-17 02:47:59.375144,Low,True,1.4
T000254,A000032,2025-12-11 16:16:44.125887,High,True,3.3
T000255,A000032,2025-11-23 12:24:34.461530,Low,True,2.4
T000256,A000032,2026-01-19 06:00:58.835882,High,False,
T000257,A000032,2025-09-30 00:01:48.834787,High,True,6.1
T000258,A000032,2025-10-04 15:08:30.558334,Medium,True,2.2
T000259,A000033,2024-06-04 02:00:18.280757,Low,True,1.0
T000260,A000033,2025-02-04 06:26:17.533255,Low,True,3.3
