account_id,month,active_users,features_adopted,logins
A000000,2024-09-28 02:32:10.291873,12,4,135
A000000,2024-10-28 02:32:10.291873,11,4,193
A000000,2024-11-27 02:32:10.291873,11,5,193
A000000,2024-12-27 02:32:10.291873,13,5,231
A000000,2025-01-26 02:32:10.291873,13,5,130
A000000,2025-02-25 02:32:10.291873,12,5,120
A000000,2025-03-27 02:32:10.291873,14,6,151
A000000,2025-04-26 02:32:10.291873,16,6,261
A000000,2025-05-26 02:32:10.291873,15,6,178
A000000,2025-06-25 02:32:10.291873,15,6,229
A000000,2025-07-25 02:32:10.291873,15,6,262
A000000,2025-08-24 02:32:10.291873,16,7,242
A000000,2025-09-23 02:32:10.291873,14,7,242
A000000,2025-10-23 02:32:10.291873,15,7,150
A000000,2025-11-22 02:32:10.291873,15,7,267
A000000,2025-12-22 02:32:10.291873,19,7,376
A000000,2026-01-21 02:32:10.291873,16,8,286
A000000,2026-03-22 02:32:10.291873,17,8,194
A000000,2026-04-21 02:32:10.291873,20,8,223
A000000,2026-05-21 02:32:10.291873,17,9,220
A000000,2026-06-20 02:32:10.291873,20,9,330
A000000,2026-07-20 02:32:10.291873,18,9,250
A000001,2025-05-21 20:09:30.755158,18,4,335
A000001,2025-06-20 20:09:30.755158,18,4,254
A000001,2025-07-20 20:09:30.755158,18,4,196
A000001,2025-08-19 20:09:30.755158,20,4,194
A000001,2025-09-18 20:09:30.755158,19,4,286
A000001,2025-10-18 20:09:30.755158,18,4,206
A000001,2025-11-17 20:09:30.755158,21,4,317
A000001,2025-12-17 20:09:30.755158,19,4,262
A000001,2026-01-16 20:09:30.755158,18,4,329
A000001,2026-02-15 20:09:30.755158,18,4,307
A000001,2026-03-17 20:09:30.755158,20,4,341
A000001,2026-04-16 20:09:30.755158,20,4,261
A000001,2026-05-16 20:09:30.755158,17,4,259
A000001,2026-06-15 20:09:30.755158,18,4,173
A000001,2026-07-15 20:09:30.755158,21,4,329
A000002,2024-11-18 15:35:36.421448,5,3,83
A000002,2024-12-18 15:35:36.421448,5,3,68
A000002,2025-01-17 15:35:36.421448,5,3,68
A000002,2025-02-16 15:35:36.421448,5,3,38
A000002,2025-03-18 15:35:36.421448,5,3,43
A000002,2025-04-17 15:35:36.421448,5,3,40
A000002,2025-05-17 15:35:36.421448,5,3,55
A000002,2025-06-16 15:35:36.421448,5,3,100
A000002,2025-07-16 15:35:36.421448,5,3,95
A000002,2025-08-15 15:35:36.421448,5,3,63
A000002,2025-09-14 15:35:36.421448,5,3,50
A000002,2025-10-14 15:35:36.421448,5,3,89
A000002,2025-11-13 15:35:36.421448,5,3,107
A000002,2025-12-13 15:35:36.421448,5,3,59
A000002,2026-01-12 15:35:36.421448,5,3,46
A000002,2026-02-11 15:35:36.421448,5,3,84
A000002,2026-03-13 15:35:36.421448,5,3,84
A000002,2026-04-12 15:35:36.421448,5,3,83
A000002,2026-05-12 15:35:36.421448,5,3,38
A000002,2026-06-11 15:35:36.421448,5,3,72
A000002,2026-07-11 15:35:36.421448,5,3,72
